PhyloID,TreeOrd,GroupA,GroupB,MeanCentroidSize
Herpestes_pulverulentus,121,Car,Fel,55.76314
Herpestes_sanguineus,122,Car,Fel,49.62442
Herpestes_ichneumon,123,Car,Fel,53.63928
Bdeogale_nigripes,124,Car,Fel,99.46447
Bdeogale_jacksoni,125,Car,Fel,97.9648
Bdeogale_crassicauda,126,Car,Fel,69.30142
Cynictis_penicillata,127,Car,Fel,46.34383
Paracynictis_selousi,128,Car,Fel,72.53948
Rhynchogale_melleri,129,Car,Fel,77.11628
Ichneumia_albicauda,130,Car,Fel,94.17705
Herpestes_naso,131,Car,Fel,94.7084
Atilax_paludinosus,132,Car,Fel,92.63296
Herpestes_urva,133,Car,Fel,78.97309
Herpestes_semitorquatus,134,Car,Fel,71.36439
Herpestes_brachyurus,135,Car,Fel,76.50872
Herpestes_vitticollis,136,Car,Fel,91.53555
Herpestes_edwardsii,137,Car,Fel,58.31408
Herpestes_javanicus,138,Car,Fel,48.10934
Herpestes_fuscus,139,Car,Fel,52.18788
Dologale_dybowskii,140,Car,Fel,50.84673
Suricata_suricatta,141,Car,Fel,52.70354
Liberiictis_kuhni,142,Car,Fel,64.9121
Mungos_mungo,143,Car,Fel,61.98552
Helogale_parvula,144,Car,Fel,40.51035
Helogale_hirtula,145,Car,Fel,44.5925
Crossarchus_obscurus,146,Car,Fel,61.33623
Crossarchus_platycephalus,147,Car,Fel,56.83291
Crossarchus_alexandri,148,Car,Fel,68.19378
Genetta_victoriae,149,Car,Fel,61.09083
Genetta_thierryi,150,Car,Fel,66.80309
Poiana_richardsonii,151,Car,Fel,54.28618
Genetta_tigrina,152,Car,Fel,83.65746
Genetta_maculata,153,Car,Fel,53.16633
Genetta_angolensis,154,Car,Fel,57.85512
Genetta_abyssinica,155,Car,Fel,65.91854
Genetta_genetta,156,Car,Fel,78.09329
Genetta_servalina,157,Car,Fel,76.79113
Viverricula_indica,158,Car,Fel,82.63515
Viverra_tangalunga,159,Car,Fel,105.35438
Viverra_zibetha,160,Car,Fel,92.12023
Viverra_megaspila,161,Car,Fel,126.57443
Civettictis_civetta,162,Car,Fel,132.7248
Arctogalidia_trivirgata,163,Car,Fel,110.49381
Paradoxurus_hermaphroditus,164,Car,Fel,97.9273
Paradoxurus_zeylonensis,165,Car,Fel,108.97592
Paguma_larvata,166,Car,Fel,119.03253
Arctictis_binturong,167,Car,Fel,109.49035
Cynogale_bennettii,168,Car,Fel,91.81911
Hemigalus_derbyanus,169,Car,Fel,69.58747
Prionodon_pardicolor,170,Car,Fel,59.47345
Prionodon_linsang,171,Car,Fel,59.13478
Panthera_tigris,172,Car,Fel,163.97799
Panthera_onca,173,Car,Fel,106.37585
Panthera_uncia,174,Car,Fel,167.90633
Panthera_pardus,175,Car,Fel,109.4312
Panthera_leo,176,Car,Fel,192.22108
Neofelis_nebulosa,177,Car,Fel,92.9581
Lynx_rufus,178,Car,Fel,61.68464
Lynx_lynx,179,Car,Fel,133.59958
Lynx_pardinus,180,Car,Fel,97.7622
Lynx_canadensis,181,Car,Fel,70.01297
Catopuma_temminckii,182,Car,Fel,111.47309
Pardofelis_marmorata,183,Car,Fel,62.81987
Catopuma_badia,184,Car,Fel,87.73921
Acinonyx_jubatus,185,Car,Fel,160.11637
Herpailurus_yagouaroundi,186,Car,Fel,68.57375
Puma_concolor,187,Car,Fel,95.25589
Leopardus_colocolo,188,Car,Fel,49.88792
Leopardus_guigna,189,Car,Fel,41.85279
Leopardus_geoffroyi,190,Car,Fel,45.05578
Leopardus_tigrinus,191,Car,Fel,41.46356
Leopardus_wiedii,192,Car,Fel,48.74318
Leopardus_pardalis,193,Car,Fel,68.7582
Prionailurus_rubiginosus,194,Car,Fel,62.06161
Prionailurus_bengalensis,195,Car,Fel,47.83495
Prionailurus_viverrinus,196,Car,Fel,74.05364
Prionailurus_planiceps,197,Car,Fel,69.9501
Otocolobus_manul,198,Car,Fel,64.95711
Felis_silvestris,199,Car,Fel,54.55793
Felis_catus,200,Car,Fel,80.65485
Felis_margarita,201,Car,Fel,79.10974
Felis_chaus,202,Car,Fel,56.47166
Felis_nigripes,203,Car,Fel,38.60327
